dataset,problem,expected,predicted,is_correct,model_raw_output
decimal,-45.4 - -36.5,-8.9,9.9,False,9.9
decimal,62.62 - -83.64,146.26,-21.02,False,-21.02
decimal,-6.33 + -78.45,-84.78,-84.78,True,-84.78
decimal,-60.59 + -20.71,-81.3,-81.3,True,-81.3
decimal,88.91 + 95.6,184.51,184.51,True,184.51
decimal,-37.68 - -29.98,-7.7,7.7,False,7.7
decimal,-84.67 - -42.64,-42.03,41.03,False,41.03
decimal,40.98 - -4.86,45.84,36.12,False,36.12
decimal,43.51 - -74.75,118.26,-31.24,False,-31.24
decimal,-40.91 - 47.34,-88.25,-106.25,False,-106.25
decimal,-69.6 - 13.66,-83.26,-83.26,True,-83.26
decimal,44.56 - -25.63,70.19,18.93,False,18.93
decimal,23.49 + -43.26,-19.77,-19.77,True,-19.77
decimal,-74.7 + 7.94,-66.76,82.64,False,82.64
decimal,56.41 - 19.57,36.84,36.84,True,36.84
decimal,3.93 + 2.55,6.48,6.48,True,6.48
decimal,82.25 + -36.77,45.48,45.48,True,45.48
decimal,-56.63 - -12.29,-44.34,44.34,False,44.34
decimal,11.79 + -79.18,-67.39,-67.39,True,-67.39
decimal,99.27 - 8.61,90.66,90.66,True,90.66
decimal,90.28 - 93.16,-2.88,-2.88,True,-2.88
decimal,49.05 - 70.39,-21.34,-21.34,True,-21.34
decimal,-37.17 + -4.98,-42.15,-42.15,True,-42.15
decimal,21.57 - -52.18,73.75,-31.61,False,-31.61
decimal,92.24 + 69.71,161.95,161.95,True,161.95
decimal,-52.18 - 13.81,-65.99,-65.99,True,-65.99
decimal,-86.31 - 21.77,-108.08,64.54,False,64.54
decimal,-17.98 - -42.83,24.85,-25.85,False,-25.85
decimal,85.39 + -0.7,84.69,84.69,True,84.69
decimal,28.9 + 76.86,105.76,105.76,True,105.76
decimal,71.57 - -70.58,142.15,0.99,False,0.99
decimal,21.4 + 32.44,53.84,53.84,True,53.84
decimal,-17.64 - -76.25,58.61,-58.61,False,-58.61
decimal,61.15 + -99.66,-38.51,-38.51,True,-38.51
decimal,7.52 - -30.88,38.4,-22.36,False,-22.36
decimal,-7.57 - 74.64,-82.21,-78.21,False,-78.21
decimal,-76.73 - -44.74,-31.99,31.99,False,31.99
decimal,37.68 + 74.61,112.29,112.29,True,112.29
decimal,-58.22 + -26.7,-84.92,-84.92,True,-84.92
decimal,8.15 - -78.93,87.08,-70.78,False,-70.78
decimal,32.53 + 10.75,43.28,43.28,True,43.28
decimal,-23.46 - 39.84,-63.3,-62.34,False,-62.34
decimal,12.71 + 5.3,18.01,18.01,True,18.01
decimal,88.92 + -0.88,88.04,88.92,False,88.92 - 0.
decimal,-54.65 + -16.4,-71.05,-70.05,False,-70.05
decimal,-6.42 - 44.39,-50.81,-48.81,False,-48.81
decimal,10.01 - 79.54,-69.53,-69.53,True,-69.53
decimal,-76.25 + -33.08,-109.33,-109.33,True,-109.33
decimal,44.56 - 20.07,24.49,24.49,True,24.49
decimal,90.61 - -41.17,131.78,49.44,False,49.44
decimal,41.03 - 7.36,33.67,33.67,True,33.67
decimal,70.18 - -70.09,140.27,0.09,False,0.09
decimal,73.3 + 58.0,131.3,131.3,True,131.3
decimal,-19.82 - -30.64,10.82,-49.46,False,-49.46
decimal,77.89 - -99.58,177.47,-22.69,False,-22.69
decimal,58.38 + 36.61,94.99,94.99,True,94.99
decimal,24.44 - -56.03,80.47,-32.59,False,-32.59
decimal,75.97 + 79.75,155.72,155.72,True,155.72
decimal,7.07 + -41.38,-34.31,-34.31,True,-34.31
decimal,50.37 - -25.91,76.28,24.46,False,24.46
decimal,-86.6 - -77.3,-9.3,9.3,False,9.3
decimal,-42.17 + -37.19,-79.36,-5.98,False,-5.98
decimal,96.56 + 69.71,166.27,166.27,True,166.27
decimal,-72.13 + 83.22,11.09,11.09,True,11.09
decimal,-37.5 + -79.75,-117.25,-117.25,True,-117.25
decimal,-22.53 - -49.49,26.96,26.04,False,26.04
decimal,25.81 + 15.08,40.89,41.89,False,41.89
decimal,-23.07 + 62.31,39.24,39.24,True,39.24
decimal,1.32 + 46.67,47.99,48.99,False,48.99
decimal,-87.15 - -93.65,6.5,-6.5,False,-6.5
decimal,24.7 + -17.83,6.87,6.87,True,6.87
decimal,-3.22 + 3.62,0.4,0.4,True,0.4
decimal,75.89 - -55.78,131.67,20.11,False,20.11
decimal,80.04 - -71.87,151.91,8.17,False,8.17
decimal,60.16 + -46.47,13.69,13.69,True,13.69
decimal,-69.05 + 39.47,-29.58,108.52,False,108.52
decimal,67.09 - 69.55,-2.46,-2.46,True,-2.46
decimal,-74.66 + 46.96,-27.7,21.6,False,21.6
decimal,-22.75 + -27.8,-50.55,-46.55,False,-46.55
decimal,-89.23 + -35.28,-124.51,-124.51,True,-124.51
decimal,23.96 - 32.12,-8.16,-8.16,True,-8.16
decimal,-13.95 + 55.12,41.17,41.17,True,41.17
decimal,41.88 + 52.44,94.32,94.32,True,94.32
decimal,-75.83 + -34.71,-110.54,40.12,False,40.12
decimal,49.9 - 84.02,-34.12,-34.12,True,-34.12
decimal,46.35 + -6.64,39.71,39.71,True,39.71
decimal,66.99 + -13.21,53.78,53.78,True,53.78
decimal,-67.83 + 99.4,31.57,-31.43,False,-31.43
decimal,-6.16 + -13.09,-19.25,-20.25,False,-20.25
decimal,-25.56 - -47.58,22.02,-22.02,False,-22.02
decimal,-67.65 - -30.04,-37.61,37.61,False,37.61
decimal,-72.06 - -21.98,-50.08,50.08,False,50.08
decimal,31.05 - 16.37,14.68,14.68,True,14.68
decimal,-40.99 + -30.29,-71.28,-71.28,True,-71.28
decimal,17.14 + -73.45,-56.31,-56.31,True,-56.31
decimal,-37.73 - -99.57,61.84,-61.16,False,-61.16
decimal,77.44 - -51.4,128.84,26.04,False,26.04
decimal,-79.85 + -18.49,-98.34,-98.34,True,-98.34
decimal,19.51 - -80.11,99.62,-61.6,False,-61.6
decimal,40.21 + -37.17,3.04,3.04,True,3.04
decimal,-75.75 + 59.95,-15.8,35.2,False,35.2
decimal,52.31 + -91.33,-39.02,-39.02,True,-39.02
decimal,-93.52 - 9.87,-103.39,-103.39,True,-103.39
decimal,77.69 + -63.54,14.15,14.15,True,14.15
decimal,72.14 + 88.95,161.09,161.09,True,161.09
decimal,-93.18 - 41.36,-134.54,-33.82,False,-33.82
decimal,71.05 + -86.03,-14.98,-14.98,True,-14.98
decimal,70.78 - 49.34,21.44,21.44,True,21.44
decimal,-20.73 + 34.83,14.1,15.1,False,15.1
decimal,54.71 - -38.16,92.87,16.55,False,16.55
decimal,68.05 + -25.58,42.47,42.47,True,42.47
decimal,37.2 + -71.09,-33.89,-33.89,True,-33.89
decimal,-77.55 + 33.27,-44.28,10.72,False,10.72
decimal,85.33 + 87.35,172.68,172.68,True,172.68
decimal,-51.02 + 15.86,-35.16,-35.16,True,-35.16
decimal,-95.89 - 31.77,-127.66,-127.66,True,-127.66
decimal,-83.51 - 37.12,-120.63,46.39,False,46.39
decimal,-44.02 + -84.67,-128.69,-128.69,True,-128.69
decimal,26.5 - 58.11,-31.61,-31.61,True,-31.61
decimal,-20.73 + -31.6,-52.33,-52.33,True,-52.33
decimal,-74.68 - -44.89,-29.79,29.79,False,29.79
decimal,-1.69 + 9.67,7.98,8.98,False,8.98
decimal,-38.89 - 56.22,-95.11,-114.11,False,-114.11
decimal,56.62 + -63.59,-6.97,-6.97,True,-6.97
decimal,-79.14 + -42.92,-122.06,-122.06,True,-122.06
decimal,-75.12 + -66.71,-141.83,8.41,False,8.41
decimal,-98.07 - -50.23,-47.84,47.84,False,47.84
decimal,10.78 + 88.93,99.71,99.71,True,99.71
decimal,-7.45 + 72.25,64.8,64.8,True,64.8
decimal,21.42 + 1.11,22.53,22.53,True,22.53
decimal,10.67 + 5.69,16.36,16.36,True,16.36
decimal,-86.82 - -27.7,-59.12,58.12,False,58.12
